timestamp,csi_data
2024-03-04 20:13:14,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -20, -5, -20, -4, -20, -3, -20, -3, -20, -3, -21, -1, -21, -1, -20, -1, -20, -1, -20, -1, -20, 0, -19, 0, -19, 0, -19, 0, -19, 1, -18, 1, -18, 1, -17, 0, -18, 1, -17, 1, -17, 1, -17, 0, -16, 0, -16, -1, -16, -1, -16, 0, 0, -1, -15, -1, -15, -1, -14, -1, -14, -1, -14, -1, -14, -1, -14, -2, -14, -2, -14, -2, -14, -3, -13, -4, -13, -4, -12, -4, -12, -3, -12, -4, -12, -4, -12, -4, -12, -4, -12, -4, -11, -5, -11, -4, -11, -5, -10, -6, -10, -5, -10, -6, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:17,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 13, -17, 13, -17, 13, -17, 12, -18, 11, -19, 11, -18, 11, -19, 9, -19, 10, -18, 9, -19, 9, -18, 9, -18, 9, -19, 8, -18, 7, -17, 8, -18, 7, -16, 7, -17, 7, -16, 6, -16, 7, -16, 6, -15, 7, -15, 7, -15, 6, -15, 6, 0, 0, -14, 6, -14, 7, -13, 7, -12, 7, -13, 7, -12, 7, -12, 7, -11, 7, -11, 7, -11, 7, -11, 8, -11, 8, -10, 8, -10, 8, -10, 8, -9, 9, -8, 8, -8, 8, -8, 8, -7, 8, -7, 9, -7, 8, -7, 9, -6, 9, -6, 9, -6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:20,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 15, 10, 14, 10, 14, 11, 14, 11, 13, 12, 13, 12, 12, 12, 12, 12, 12, 12, 11, 12, 11, 12, 11, 13, 11, 12, 11, 12, 10, 12, 10, 12, 10, 11, 10, 12, 10, 11, 9, 11, 9, 11, 9, 10, 9, 10, 9, 10, 9, 10, 0, 0, 9, 9, 9, 9, 9, 8, 9, 8, 9, 8, 9, 8, 9, 7, 9, 7, 9, 7, 9, 6, 9, 6, 9, 6, 9, 5, 10, 5, 9, 5, 10, 5, 10, 4, 10, 3, 10, 4, 9, 4, 9, 3, 9, 2, 9, 2, 10, 2, 9, 2, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:23,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 9, -19, 8, -19, 8, -18, 7, -19, 7, -18, 7, -19, 6, -19, 6, -18, 6, -18, 4, -19, 5, -18, 4, -18, 4, -18, 4, -17, 3, -17, 4, -17, 4, -16, 4, -16, 3, -16, 4, -15, 3, -15, 3, -15, 3, -15, 4, -14, 3, -14, 4, 0, 0, -12, 4, -12, 4, -12, 5, -12, 5, -12, 5, -11, 5, -11, 5, -11, 5, -10, 5, -10, 5, -10, 6, -10, 6, -9, 6, -9, 6, -8, 6, -9, 7, -8, 7, -8, 6, -8, 7, -7, 7, -7, 8, -6, 7, -7, 7, -6, 8, -5, 8, -6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:26,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 19, 0, 19, 1, 20, 1, 19, 2, 19, 2, 19, 3, 18, 4, 18, 4, 17, 4, 18, 4, 17, 4, 17, 5, 17, 4, 16, 5, 16, 4, 15, 5, 15, 5, 15, 4, 14, 5, 14, 5, 14, 4, 14, 4, 14, 4, 13, 3, 13, 3, 0, 0, 13, 3, 13, 2, 13, 2, 12, 2, 13, 1, 12, 1, 12, 1, 11, 1, 11, 1, 11, 0, 11, -1, 11, -1, 11, -1, 11, -1, 11, -1, 11, -2, 10, -3, 10, -3, 10, -2, 9, -3, 10, -3, 9, -4, 9, -4, 9, -5, 9, -4, 8, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:29,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, -15, 15, -15, 14, -14, 14, -13, 14, -13, 15, -13, 15, -12, 15, -12, 16, -10, 15, -11, 15, -11, 15, -10, 15, -10, 15, -9, 15, -10, 15, -9, 14, -9, 14, -9, 14, -8, 14, -8, 13, -8, 13, -8, 13, -8, 12, -8, 12, -8, 11, -8, 0, 0, 11, -8, 11, -8, 10, -8, 10, -8, 10, -8, 10, -8, 8, -8, 9, -8, 8, -8, 8, -8, 7, -8, 7, -9, 7, -8, 7, -9, 6, -8, 6, -9, 5, -9, 5, -9, 5, -9, 4, -9, 4, -9, 4, -9, 4, -9, 3, -9, 2, -9, 1, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:33,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -14, -11, -14, -11, -14, -11, -15, -9, -15, -10, -16, -9, -15, -8, -17, -7, -16, -8, -16, -9, -16, -7, -16, -8, -15, -8, -16, -7, -16, -7, -16, -6, -16, -6, -15, -5, -15, -6, -16, -5, -15, -5, -15, -5, -14, -6, -14, -6, -14, -6, -14, 0, 0, -6, -13, -5, -13, -6, -13, -6, -12, -7, -12, -6, -12, -6, -12, -7, -12, -7, -11, -7, -11, -8, -10, -7, -11, -8, -10, -8, -10, -7, -10, -9, -9, -9, -8, -9, -9, -9, -9, -9, -8, -9, -9, -9, -8, -10, -8, -11, -7, -10, -7, -10, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:36,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 1, 22, 1, 23, 2, 22, 2, 22, 3, 22, 4, 22, 4, 21, 4, 21, 5, 20, 6, 20, 6, 20, 6, 19, 6, 19, 6, 18, 6, 18, 6, 17, 6, 17, 6, 17, 6, 17, 6, 16, 5, 16, 5, 16, 5, 16, 5, 15, 5, 15, 4, 0, 0, 14, 4, 14, 3, 14, 3, 13, 2, 14, 2, 14, 2, 13, 1, 13, 1, 12, 1, 12, 0, 12, 0, 12, 0, 12, -1, 12, -1, 12, -1, 11, -2, 11, -2, 11, -2, 11, -3, 10, -3, 10, -3, 10, -3, 9, -4, 9, -5, 9, -4, 8, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:39,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, 3, -22, 3, -20, 1, -21, 1, -21, 1, -21, -1, -20, 0, -20, -2, -20, -2, -19, -2, -19, -1, -19, -3, -19, -2, -18, -2, -18, -3, -17, -2, -18, -2, -16, -3, -17, -3, -17, -3, -16, -3, -16, -2, -16, -2, -16, -2, -15, -2, -15, -1, 0, 0, -15, -1, -14, -1, -14, -1, -14, 0, -14, 0, -14, 0, -14, 0, -14, 0, -13, 0, -13, 1, -12, 1, -13, 2, -12, 2, -13, 2, -12, 2, -12, 3, -11, 3, -11, 3, -11, 3, -11, 3, -11, 4, -11, 4, -10, 4, -9, 4, -9, 5, -9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:42,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, -21, 6, -21, 6, -19, 7, -21, 7, -19, 8, -20, 9, -19, 9, -18, 9, -18, 9, -17, 9, -18, 9, -18, 9, -17, 9, -17, 10, -17, 9, -16, 10, -16, 9, -15, 10, -16, 9, -15, 9, -15, 9, -15, 8, -14, 8, -15, 7, -14, 8, -14, 0, 0, 7, -14, 6, -14, 7, -14, 6, -13, 7, -14, 6, -13, 5, -13, 5, -13, 5, -12, 4, -12, 4, -13, 4, -13, 3, -12, 3, -12, 3, -12, 2, -12, 2, -12, 2, -12, 2, -12, 1, -11, 1, -12, 1, -11, 0, -11, 0, -11, 0, -11, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:45,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 15, -14, 15, -14, 15, -15, 14, -15, 14, -15, 13, -16, 13, -16, 12, -16, 12, -16, 12, -16, 12, -17, 10, -16, 11, -16, 10, -16, 10, -15, 10, -15, 10, -15, 9, -15, 9, -15, 9, -15, 9, -14, 9, -14, 8, -14, 9, -13, 8, -13, 9, 0, 0, -12, 8, -12, 9, -12, 8, -11, 8, -11, 9, -10, 9, -10, 8, -10, 9, -9, 9, -10, 9, -9, 9, -9, 9, -9, 9, -8, 9, -8, 9, -7, 9, -7, 9, -6, 9, -6, 9, -6, 9, -6, 9, -5, 9, -6, 10, -5, 9, -5, 9, -4, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:48,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, -8, 20, -7, 19, -6, 21, -6, 20, -5, 21, -5, 20, -4, 19, -4, 19, -3, 18, -3, 19, -3, 19, -3, 19, -3, 18, -2, 18, -2, 17, -2, 18, -2, 16, -2, 17, -2, 17, -1, 16, -2, 16, -2, 15, -2, 16, -2, 15, -3, 15, -3, 0, 0, 14, -3, 13, -3, 14, -4, 13, -3, 13, -4, 13, -4, 13, -4, 12, -4, 11, -4, 11, -5, 11, -5, 11, -5, 10, -5, 11, -6, 10, -5, 10, -6, 9, -6, 9, -7, 9, -6, 8, -6, 9, -6, 8, -6, 8, -7, 7, -7, 7, -7, 6, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:51,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -14, -17, -15, -16, -15, -16, -16, -14, -16, -15, -17, -14, -17, -13, -18, -12, -17, -12, -17, -13, -17, -12, -16, -11, -17, -11, -17, -11, -17, -11, -16, -10, -16, -9, -15, -10, -16, -9, -16, -9, -15, -9, -15, -9, -14, -10, -14, -9, -14, -9, -13, 0, 0, -9, -13, -9, -12, -9, -12, -9, -11, -10, -12, -9, -11, -10, -11, -9, -11, -9, -10, -10, -9, -10, -9, -10, -9, -10, -9, -10, -8, -10, -8, -10, -8, -10, -7, -10, -7, -10, -7, -9, -6, -10, -7, -10, -6, -10, -5, -10, -5, -10, -5, -9, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:54,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, -2, 19, -2, 18, -1, 19, 0, 19, 1, 19, 1, 18, 2, 18, 1, 17, 2, 17, 3, 18, 3, 17, 2, 16, 3, 16, 3, 16, 3, 15, 3, 15, 4, 15, 3, 16, 3, 15, 3, 15, 4, 14, 3, 14, 3, 14, 3, 13, 2, 13, 2, 0, 0, 13, 2, 12, 2, 13, 1, 12, 1, 12, 1, 12, 1, 12, 0, 12, 0, 11, 0, 11, -1, 11, -1, 12, -1, 11, -1, 11, -2, 11, -2, 11, -2, 11, -3, 10, -2, 11, -3, 10, -3, 10, -4, 10, -4, 10, -4, 10, -4, 9, -4, 9, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:57,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 19, 8, 18, 8, 18, 9, 17, 9, 18, 10, 17, 9, 17, 10, 16, 11, 16, 10, 16, 10, 16, 10, 15, 10, 15, 11, 15, 10, 14, 10, 14, 10, 13, 10, 13, 10, 13, 10, 13, 10, 13, 10, 13, 8, 13, 8, 13, 8, 13, 8, 0, 0, 12, 7, 12, 7, 12, 7, 12, 6, 12, 6, 12, 6, 12, 6, 12, 4, 12, 4, 11, 4, 11, 3, 11, 4, 11, 3, 12, 3, 11, 2, 11, 2, 10, 1, 11, 1, 11, 1, 10, 1, 10, 1, 10, 1, 10, 0, 10, -1, 10, -2, 10, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:14:00,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -9, -14, -10, -14, -10, -13, -11, -14, -11, -14, -11, -12, -12, -12, -12, -12, -11, -12, -12, -12, -13, -12, -12, -11, -13, -11, -12, -11, -11, -11, -12, -11, -11, -10, -12, -9, -11, -9, -11, -9, -12, -9, -11, -9, -11, -9, -10, -9, -10, -9, -10, 0, 0, -8, -9, -9, -9, -9, -8, -9, -8, -9, -8, -10, -8, -9, -8, -9, -7, -8, -7, -9, -6, -9, -7, -9, -6, -10, -6, -9, -5, -9, -5, -9, -5, -9, -5, -9, -5, -9, -4, -10, -3, -9, -4, -10, -3, -10, -3, -10, -3, -10, -2, -10, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
